<!DOCTYPE html>
<!DOCTYPE html>

SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SkinWet

  Frequency    Conductivity    Relative   
     [Hz]         [S/m]      permittivity 
------------------------------------------
   5.0000e+8     7.0444e-1     4.8621e+1  
   5.9500e+8     7.3727e-1     4.7764e+1  
   6.9000e+8     7.7006e-1     4.7111e+1  
   7.8500e+8     8.0332e-1     4.6591e+1  
   8.8000e+8     8.3736e-1     4.6162e+1  
   9.7500e+8     8.7240e-1     4.5798e+1  
   1.0700e+9     9.0858e-1     4.5483e+1  
   1.1650e+9     9.4602e-1     4.5204e+1  
   1.2600e+9     9.8478e-1     4.4954e+1  
   1.3550e+9     1.0249e+0     4.4726e+1  
   1.4500e+9     1.0665e+0     4.4516e+1  
   1.5450e+9     1.1094e+0     4.4321e+1  
   1.6400e+9     1.1539e+0     4.4138e+1  
   1.7350e+9     1.1998e+0     4.3964e+1  
   1.8300e+9     1.2472e+0     4.3799e+1  
   1.9250e+9     1.2960e+0     4.3641e+1  
   2.0200e+9     1.3463e+0     4.3489e+1  
   2.1150e+9     1.3980e+0     4.3342e+1  
   2.2100e+9     1.4512e+0     4.3199e+1  
   2.3050e+9     1.5058e+0     4.3059e+1  
   2.4000e+9     1.5618e+0     4.2923e+1  
   2.4950e+9     1.6193e+0     4.2790e+1  
   2.5900e+9     1.6781e+0     4.2658e+1  
   2.6850e+9     1.7383e+0     4.2529e+1  
   2.7800e+9     1.7998e+0     4.2402e+1  
   2.8750e+9     1.8627e+0     4.2276e+1  
   2.9700e+9     1.9268e+0     4.2151e+1  
   3.0650e+9     1.9923e+0     4.2028e+1  
   3.1600e+9     2.0591e+0     4.1905e+1  
   3.2550e+9     2.1271e+0     4.1783e+1  
   3.3500e+9     2.1963e+0     4.1662e+1  
   3.4450e+9     2.2668e+0     4.1542e+1  
   3.5400e+9     2.3384e+0     4.1422e+1  
   3.6350e+9     2.4112e+0     4.1303e+1  
   3.7300e+9     2.4852e+0     4.1184e+1  
   3.8250e+9     2.5603e+0     4.1065e+1  
   3.9200e+9     2.6365e+0     4.0947e+1  
   4.0150e+9     2.7138e+0     4.0829e+1  
   4.1100e+9     2.7922e+0     4.0711e+1  
   4.2050e+9     2.8716e+0     4.0593e+1  
   4.3000e+9     2.9520e+0     4.0475e+1  
   4.3950e+9     3.0335e+0     4.0358e+1  
   4.4900e+9     3.1159e+0     4.0241e+1  
   4.5850e+9     3.1993e+0     4.0123e+1  
   4.6800e+9     3.2836e+0     4.0006e+1  
   4.7750e+9     3.3689e+0     3.9889e+1  
   4.8700e+9     3.4551e+0     3.9771e+1  
   4.9650e+9     3.5421e+0     3.9654e+1  
   5.0600e+9     3.6300e+0     3.9537e+1  
   5.1550e+9     3.7188e+0     3.9420e+1  
   5.2500e+9     3.8083e+0     3.9303e+1  
   5.3450e+9     3.8987e+0     3.9185e+1  
   5.4400e+9     3.9899e+0     3.9068e+1  
   5.5350e+9     4.0818e+0     3.8951e+1  
   5.6300e+9     4.1744e+0     3.8834e+1  
   5.7250e+9     4.2678e+0     3.8717e+1  
   5.8200e+9     4.3619e+0     3.8600e+1  
   5.9150e+9     4.4567e+0     3.8482e+1  
   6.0100e+9     4.5521e+0     3.8365e+1  
   6.1050e+9     4.6482e+0     3.8248e+1  
   6.2000e+9     4.7450e+0     3.8131e+1  
   6.2950e+9     4.8423e+0     3.8014e+1  
   6.3900e+9     4.9403e+0     3.7897e+1  
   6.4850e+9     5.0388e+0     3.7780e+1  
   6.5800e+9     5.1379e+0     3.7663e+1  
   6.6750e+9     5.2375e+0     3.7546e+1  
   6.7700e+9     5.3377e+0     3.7429e+1  
   6.8650e+9     5.4384e+0     3.7312e+1  
   6.9600e+9     5.5395e+0     3.7195e+1  
   7.0550e+9     5.6412e+0     3.7078e+1  
   7.1500e+9     5.7433e+0     3.6961e+1  
   7.2450e+9     5.8459e+0     3.6845e+1  
   7.3400e+9     5.9488e+0     3.6728e+1  
   7.4350e+9     6.0523e+0     3.6612e+1  
   7.5300e+9     6.1561e+0     3.6496e+1  
   7.6250e+9     6.2603e+0     3.6379e+1  
   7.7200e+9     6.3648e+0     3.6263e+1  
   7.8150e+9     6.4697e+0     3.6147e+1  
   7.9100e+9     6.5750e+0     3.6031e+1  
   8.0050e+9     6.6806e+0     3.5916e+1  
   8.1000e+9     6.7865e+0     3.5800e+1  
   8.1950e+9     6.8927e+0     3.5685e+1  
   8.2900e+9     6.9992e+0     3.5569e+1  
   8.3850e+9     7.1060e+0     3.5454e+1  
   8.4800e+9     7.2130e+0     3.5339e+1  
   8.5750e+9     7.3203e+0     3.5225e+1  
   8.6700e+9     7.4278e+0     3.5110e+1  
   8.7650e+9     7.5355e+0     3.4996e+1  
   8.8600e+9     7.6435e+0     3.4881e+1  
   8.9550e+9     7.7516e+0     3.4768e+1  
   9.0500e+9     7.8600e+0     3.4654e+1  
   9.1450e+9     7.9685e+0     3.4540e+1  
   9.2400e+9     8.0771e+0     3.4427e+1  
   9.3350e+9     8.1860e+0     3.4314e+1  
   9.4300e+9     8.2949e+0     3.4201e+1  
   9.5250e+9     8.4040e+0     3.4088e+1  
   9.6200e+9     8.5132e+0     3.3976e+1  
   9.7150e+9     8.6225e+0     3.3863e+1  
   9.8100e+9     8.7319e+0     3.3752e+1  
   9.9050e+9     8.8414e+0     3.3640e+1  
  1.0000e+10     8.9510e+0     3.3528e+1  
