<!DOCTYPE html>
<!DOCTYPE html>

SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Fat

  Frequency    Conductivity    Relative   
     [Hz]         [S/m]      permittivity 
------------------------------------------
   5.0000e+8     4.2793e-2     5.5444e+0  
   5.9500e+8     4.4521e-2     5.5192e+0  
   6.9000e+8     4.6393e-2     5.4986e+0  
   7.8500e+8     4.8409e-2     5.4809e+0  
   8.8000e+8     5.0570e-2     5.4651e+0  
   9.7500e+8     5.2873e-2     5.4507e+0  
   1.0700e+9     5.5315e-2     5.4372e+0  
   1.1650e+9     5.7894e-2     5.4245e+0  
   1.2600e+9     6.0606e-2     5.4123e+0  
   1.3550e+9     6.3448e-2     5.4006e+0  
   1.4500e+9     6.6416e-2     5.3892e+0  
   1.5450e+9     6.9508e-2     5.3781e+0  
   1.6400e+9     7.2719e-2     5.3673e+0  
   1.7350e+9     7.6046e-2     5.3566e+0  
   1.8300e+9     7.9487e-2     5.3461e+0  
   1.9250e+9     8.3038e-2     5.3357e+0  
   2.0200e+9     8.6697e-2     5.3254e+0  
   2.1150e+9     9.0459e-2     5.3153e+0  
   2.2100e+9     9.4324e-2     5.3052e+0  
   2.3050e+9     9.8287e-2     5.2952e+0  
   2.4000e+9     1.0235e-1     5.2853e+0  
   2.4950e+9     1.0650e-1     5.2754e+0  
   2.5900e+9     1.1074e-1     5.2656e+0  
   2.6850e+9     1.1507e-1     5.2559e+0  
   2.7800e+9     1.1949e-1     5.2462e+0  
   2.8750e+9     1.2399e-1     5.2365e+0  
   2.9700e+9     1.2858e-1     5.2269e+0  
   3.0650e+9     1.3324e-1     5.2173e+0  
   3.1600e+9     1.3798e-1     5.2078e+0  
   3.2550e+9     1.4279e-1     5.1983e+0  
   3.3500e+9     1.4767e-1     5.1888e+0  
   3.4450e+9     1.5263e-1     5.1794e+0  
   3.5400e+9     1.5766e-1     5.1700e+0  
   3.6350e+9     1.6275e-1     5.1606e+0  
   3.7300e+9     1.6791e-1     5.1513e+0  
   3.8250e+9     1.7312e-1     5.1419e+0  
   3.9200e+9     1.7841e-1     5.1327e+0  
   4.0150e+9     1.8375e-1     5.1234e+0  
   4.1100e+9     1.8914e-1     5.1142e+0  
   4.2050e+9     1.9460e-1     5.1050e+0  
   4.3000e+9     2.0011e-1     5.0958e+0  
   4.3950e+9     2.0567e-1     5.0867e+0  
   4.4900e+9     2.1128e-1     5.0776e+0  
   4.5850e+9     2.1694e-1     5.0685e+0  
   4.6800e+9     2.2265e-1     5.0594e+0  
   4.7750e+9     2.2841e-1     5.0504e+0  
   4.8700e+9     2.3421e-1     5.0414e+0  
   4.9650e+9     2.4006e-1     5.0324e+0  
   5.0600e+9     2.4595e-1     5.0235e+0  
   5.1550e+9     2.5188e-1     5.0146e+0  
   5.2500e+9     2.5785e-1     5.0057e+0  
   5.3450e+9     2.6385e-1     4.9969e+0  
   5.4400e+9     2.6990e-1     4.9880e+0  
   5.5350e+9     2.7598e-1     4.9793e+0  
   5.6300e+9     2.8210e-1     4.9705e+0  
   5.7250e+9     2.8825e-1     4.9618e+0  
   5.8200e+9     2.9443e-1     4.9531e+0  
   5.9150e+9     3.0065e-1     4.9444e+0  
   6.0100e+9     3.0689e-1     4.9358e+0  
   6.1050e+9     3.1317e-1     4.9272e+0  
   6.2000e+9     3.1947e-1     4.9186e+0  
   6.2950e+9     3.2580e-1     4.9100e+0  
   6.3900e+9     3.3215e-1     4.9015e+0  
   6.4850e+9     3.3854e-1     4.8931e+0  
   6.5800e+9     3.4494e-1     4.8846e+0  
   6.6750e+9     3.5137e-1     4.8762e+0  
   6.7700e+9     3.5782e-1     4.8678e+0  
   6.8650e+9     3.6430e-1     4.8594e+0  
   6.9600e+9     3.7079e-1     4.8511e+0  
   7.0550e+9     3.7731e-1     4.8428e+0  
   7.1500e+9     3.8384e-1     4.8346e+0  
   7.2450e+9     3.9039e-1     4.8264e+0  
   7.3400e+9     3.9696e-1     4.8182e+0  
   7.4350e+9     4.0355e-1     4.8100e+0  
   7.5300e+9     4.1015e-1     4.8019e+0  
   7.6250e+9     4.1676e-1     4.7938e+0  
   7.7200e+9     4.2339e-1     4.7857e+0  
   7.8150e+9     4.3004e-1     4.7777e+0  
   7.9100e+9     4.3670e-1     4.7697e+0  
   8.0050e+9     4.4337e-1     4.7618e+0  
   8.1000e+9     4.5005e-1     4.7538e+0  
   8.1950e+9     4.5674e-1     4.7459e+0  
   8.2900e+9     4.6344e-1     4.7381e+0  
   8.3850e+9     4.7016e-1     4.7302e+0  
   8.4800e+9     4.7688e-1     4.7225e+0  
   8.5750e+9     4.8361e-1     4.7147e+0  
   8.6700e+9     4.9035e-1     4.7070e+0  
   8.7650e+9     4.9709e-1     4.6993e+0  
   8.8600e+9     5.0384e-1     4.6916e+0  
   8.9550e+9     5.1060e-1     4.6840e+0  
   9.0500e+9     5.1737e-1     4.6764e+0  
   9.1450e+9     5.2413e-1     4.6688e+0  
   9.2400e+9     5.3091e-1     4.6613e+0  
   9.3350e+9     5.3769e-1     4.6538e+0  
   9.4300e+9     5.4447e-1     4.6463e+0  
   9.5250e+9     5.5125e-1     4.6389e+0  
   9.6200e+9     5.5804e-1     4.6315e+0  
   9.7150e+9     5.6483e-1     4.6242e+0  
   9.8100e+9     5.7162e-1     4.6168e+0  
   9.9050e+9     5.7842e-1     4.6095e+0  
  1.0000e+10     5.8521e-1     4.6023e+0  
