<!DOCTYPE html>
<!DOCTYPE html>

SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Muscle

  Frequency    Conductivity    Relative   
     [Hz]         [S/m]      permittivity 
------------------------------------------
   5.0000e+8     8.2245e-1     5.6445e+1  
   5.9500e+8     8.4842e-1     5.5981e+1  
   6.9000e+8     8.7589e-1     5.5621e+1  
   7.8500e+8     9.0509e-1     5.5328e+1  
   8.8000e+8     9.3616e-1     5.5080e+1  
   9.7500e+8     9.6917e-1     5.4864e+1  
   1.0700e+9     1.0042e+0     5.4671e+1  
   1.1650e+9     1.0412e+0     5.4495e+1  
   1.2600e+9     1.0803e+0     5.4333e+1  
   1.3550e+9     1.1214e+0     5.4181e+1  
   1.4500e+9     1.1645e+0     5.4036e+1  
   1.5450e+9     1.2097e+0     5.3898e+1  
   1.6400e+9     1.2569e+0     5.3765e+1  
   1.7350e+9     1.3061e+0     5.3636e+1  
   1.8300e+9     1.3573e+0     5.3510e+1  
   1.9250e+9     1.4105e+0     5.3386e+1  
   2.0200e+9     1.4656e+0     5.3265e+1  
   2.1150e+9     1.5226e+0     5.3145e+1  
   2.2100e+9     1.5816e+0     5.3026e+1  
   2.3050e+9     1.6424e+0     5.2908e+1  
   2.4000e+9     1.7050e+0     5.2791e+1  
   2.4950e+9     1.7695e+0     5.2674e+1  
   2.5900e+9     1.8358e+0     5.2558e+1  
   2.6850e+9     1.9039e+0     5.2442e+1  
   2.7800e+9     1.9738e+0     5.2326e+1  
   2.8750e+9     2.0453e+0     5.2211e+1  
   2.9700e+9     2.1186e+0     5.2095e+1  
   3.0650e+9     2.1936e+0     5.1979e+1  
   3.1600e+9     2.2702e+0     5.1862e+1  
   3.2550e+9     2.3484e+0     5.1746e+1  
   3.3500e+9     2.4283e+0     5.1629e+1  
   3.4450e+9     2.5097e+0     5.1512e+1  
   3.5400e+9     2.5926e+0     5.1395e+1  
   3.6350e+9     2.6771e+0     5.1277e+1  
   3.7300e+9     2.7631e+0     5.1159e+1  
   3.8250e+9     2.8506e+0     5.1040e+1  
   3.9200e+9     2.9395e+0     5.0921e+1  
   4.0150e+9     3.0299e+0     5.0802e+1  
   4.1100e+9     3.1217e+0     5.0682e+1  
   4.2050e+9     3.2148e+0     5.0562e+1  
   4.3000e+9     3.3093e+0     5.0441e+1  
   4.3950e+9     3.4051e+0     5.0320e+1  
   4.4900e+9     3.5022e+0     5.0199e+1  
   4.5850e+9     3.6006e+0     5.0077e+1  
   4.6800e+9     3.7002e+0     4.9955e+1  
   4.7750e+9     3.8011e+0     4.9832e+1  
   4.8700e+9     3.9032e+0     4.9709e+1  
   4.9650e+9     4.0065e+0     4.9586e+1  
   5.0600e+9     4.1109e+0     4.9462e+1  
   5.1550e+9     4.2165e+0     4.9337e+1  
   5.2500e+9     4.3231e+0     4.9213e+1  
   5.3450e+9     4.4309e+0     4.9088e+1  
   5.4400e+9     4.5398e+0     4.8962e+1  
   5.5350e+9     4.6496e+0     4.8837e+1  
   5.6300e+9     4.7606e+0     4.8711e+1  
   5.7250e+9     4.8725e+0     4.8585e+1  
   5.8200e+9     4.9853e+0     4.8458e+1  
   5.9150e+9     5.0992e+0     4.8331e+1  
   6.0100e+9     5.2140e+0     4.8204e+1  
   6.1050e+9     5.3297e+0     4.8076e+1  
   6.2000e+9     5.4463e+0     4.7949e+1  
   6.2950e+9     5.5637e+0     4.7821e+1  
   6.3900e+9     5.6820e+0     4.7693e+1  
   6.4850e+9     5.8012e+0     4.7564e+1  
   6.5800e+9     5.9211e+0     4.7436e+1  
   6.6750e+9     6.0419e+0     4.7307e+1  
   6.7700e+9     6.1634e+0     4.7178e+1  
   6.8650e+9     6.2857e+0     4.7049e+1  
   6.9600e+9     6.4087e+0     4.6920e+1  
   7.0550e+9     6.5324e+0     4.6790e+1  
   7.1500e+9     6.6568e+0     4.6660e+1  
   7.2450e+9     6.7819e+0     4.6531e+1  
   7.3400e+9     6.9076e+0     4.6401e+1  
   7.4350e+9     7.0340e+0     4.6271e+1  
   7.5300e+9     7.1610e+0     4.6141e+1  
   7.6250e+9     7.2886e+0     4.6011e+1  
   7.7200e+9     7.4168e+0     4.5881e+1  
   7.8150e+9     7.5455e+0     4.5751e+1  
   7.9100e+9     7.6748e+0     4.5620e+1  
   8.0050e+9     7.8046e+0     4.5490e+1  
   8.1000e+9     7.9350e+0     4.5360e+1  
   8.1950e+9     8.0658e+0     4.5229e+1  
   8.2900e+9     8.1971e+0     4.5099e+1  
   8.3850e+9     8.3289e+0     4.4969e+1  
   8.4800e+9     8.4612e+0     4.4838e+1  
   8.5750e+9     8.5938e+0     4.4708e+1  
   8.6700e+9     8.7269e+0     4.4578e+1  
   8.7650e+9     8.8604e+0     4.4448e+1  
   8.8600e+9     8.9943e+0     4.4318e+1  
   8.9550e+9     9.1285e+0     4.4188e+1  
   9.0500e+9     9.2632e+0     4.4058e+1  
   9.1450e+9     9.3981e+0     4.3928e+1  
   9.2400e+9     9.5334e+0     4.3798e+1  
   9.3350e+9     9.6690e+0     4.3668e+1  
   9.4300e+9     9.8049e+0     4.3538e+1  
   9.5250e+9     9.9411e+0     4.3409e+1  
   9.6200e+9     1.0078e+1     4.3280e+1  
   9.7150e+9     1.0214e+1     4.3150e+1  
   9.8100e+9     1.0351e+1     4.3021e+1  
   9.9050e+9     1.0488e+1     4.2892e+1  
  1.0000e+10     1.0626e+1     4.2764e+1  
