"Freq [GHz]","dB(St(Feed,Feed)) []"
1.395,-23.5342263589692
1.3950125,-23.5659752446816
1.395025,-23.5971924433985
1.3950375,-23.6278645674579
1.39505,-23.6579782338765
1.3950625,-23.6875200790014
1.395075,-23.7164767736527
1.3950875,-23.7448350387323
1.3951,-23.7725816612797
1.3951125,-23.7997035109442
1.395125,-23.8261875568482
1.3951375,-23.8520208848052
1.39515,-23.8771907148629
1.3951625,-23.9016844191252
1.395175,-23.9254895398215
1.3951875,-23.9485938075745
1.3952,-23.970985159819
1.3952125,-23.9926517593302
1.395225,-24.0135820128018
1.3952375,-24.0337645894288
1.39525,-24.0531884394343
1.3952625,-24.0718428124878
1.395275,-24.0897172759545
1.3952875,-24.1068017329174
1.3953,-24.1230864399123
1.3953125,-24.1385620243138
1.395325,-24.1532195013135
1.3953375,-24.1670502904265
1.39535,-24.1800462314692
1.3953625,-24.1921995999455
1.395375,-24.2035031217855
1.3953875,-24.2139499873772
1.3954,-24.2235338648377
1.3954125,-24.2322489124711
1.395425,-24.2400897903613
1.3954375,-24.2470516710531
1.39545,-24.2531302492777
1.3954625,-24.2583217506808
1.395475,-24.2626229395183
1.3954875,-24.2660311252847
1.3955,-24.2685441682474
1.3955125,-24.2701604838631
1.395525,-24.2708790460559
1.3955375,-24.2706993893442
1.39555,-24.2696216098065
1.3955625,-24.2676463648825
1.395575,-24.2647748720091
1.3955875,-24.2610089060989
1.3956,-24.256350795871
1.3956125,-24.25080341905
1.395625,-24.2443701964549
1.3956375,-24.2370550850021
1.39565,-24.2288625696534
1.3956625,-24.2197976543419
1.395675,-24.2098658519153
1.3956875,-24.1990731731383
1.3957,-24.1874261147979
1.3957125,-24.1749316469622
1.395725,-24.1615971994432
1.3957375,-24.1474306475163
1.39575,-24.1324402969544
1.3957625,-24.1166348684328
1.395775,-24.1000234813635
1.3957875,-24.0826156372209
1.3958,-24.0644212024173
1.3958125,-24.0454503907906
1.395825,-24.0257137457643
1.3958375,-24.0052221222411
1.39585,-23.9839866682896
1.3958625,-23.9620188066816
1.395875,-23.9393302163405
1.3958875,-23.9159328137541
1.3959,-23.8918387344069
1.3959125,-23.867060314285
1.395925,-23.8416100715018
1.3959375,-23.8155006880944
1.39595,-23.7887449920343
1.3959625,-23.7613559394945
1.395975,-23.7333465974154
1.3959875,-23.7047301264029
1.396,-23.6755197639964
1.3960125,-23.6457288083347
1.396025,-23.6153706022511
1.3960375,-23.5844585178215
1.39605,-23.5530059413858
1.3960625,-23.5210262590707
1.396075,-23.4885328428186
1.3960875,-23.4555390369486
1.3961,-23.422058145253
1.3961125,-23.3881034186426
1.396125,-23.353688043348
1.3961375,-23.3188251296771
1.39615,-23.2835277013373
1.3961625,-23.247808685316
1.396175,-23.2116809023241
1.3961875,-23.1751570577935
1.3962,-23.1382497334265
1.3962125,-23.1009713792898
1.396225,-23.0633343064449
1.3962375,-23.0253506801039
1.39625,-22.9870325133035
1.3962625,-22.9483916610823
1.396275,-22.9094398151481
1.3962875,-22.8701884990278
1.3963,-22.8306490636789
1.3963125,-22.79083268355
1.396325,-22.7507503530784
1.3963375,-22.7104128836049
1.39635,-22.6698309006921
1.3963625,-22.6290148418291
1.396375,-22.5879749545091
1.3963875,-22.5467212946597
1.3964,-22.5052637254116
1.3964125,-22.4636119161903
1.396425,-22.4217753421133
1.3964375,-22.3797632836784
1.39645,-22.3375848267241
1.3964625,-22.2952488626523
1.396475,-22.2527640888921
1.3964875,-22.2101390095945
1.3965,-22.1673819365398
1.3965125,-22.1245009902504
1.396525,-22.0815041012843
1.3965375,-22.0383990117074
1.39655,-21.9951932767244
1.3965625,-21.9518942664583
1.396575,-21.9085091678704
1.3965875,-21.8650449867995
1.3966,-21.8215085501217
1.3966125,-21.7779065080107
1.396625,-21.7342453362929
1.3966375,-21.6905313388873
1.39665,-21.6467706503203
1.3966625,-21.6029692383073
1.396675,-21.5591329063923
1.3966875,-21.5152672966387
1.3967,-21.4713778923623
1.3967125,-21.4274700209024
1.396725,-21.3835488564175
1.3967375,-21.3396194227132
1.39675,-21.2956865960782
1.3967625,-21.2517551081387
1.396775,-21.2078295487165
1.3967875,-21.1639143686919
1.3968,-21.120013882861
1.3968125,-21.0761322727907
1.396825,-21.0322735896594
1.3968375,-20.9884417570873
1.39685,-20.9446405739469
1.3968625,-20.9008737171558
1.396875,-20.8571447444445
1.3968875,-20.8134570971007
1.3969,-20.7698141026839
1.3969125,-20.7262189777118
1.396925,-20.6826748303149
1.3969375,-20.6391846628565
1.39695,-20.5957513745164
1.3969625,-20.5523777638443
1.396975,-20.5090665312684
1.3969875,-20.4658202815694
1.397,-20.4226415263148
1.3970125,-20.3795326862503
1.397025,-20.3364960936544
1.3970375,-20.2935339946481
1.39705,-20.2506485514635
1.3970625,-20.2078418446712
1.397075,-20.1651158753648
1.3970875,-20.1224725673015
1.3971,-20.0799137690012
1.3971125,-20.037441255803
1.397125,-19.995056731879
1.3971375,-19.9527618322045
1.39715,-19.910558124487
1.3971625,-19.8684471110539
1.397175,-19.8264302306952
1.3971875,-19.7845088604699
1.3972,-19.7426843174664
1.3972125,-19.7009578605254
1.397225,-19.659330691922
1.3972375,-19.617803959007
1.39725,-19.5763787558109
1.3972625,-19.5350561246078
1.397275,-19.4938370574418
1.3972875,-19.4527224976162
1.3973,-19.4117133411461
1.3973125,-19.3708104381729
1.397325,-19.3300145943459
1.3973375,-19.2893265721664
1.39735,-19.2487470922985
1.3973625,-19.2082768348474
1.397375,-19.1679164406011
1.3973875,-19.1276665122438
1.3974,-19.0875276155332
1.3974125,-19.0475002804515
1.397425,-19.0075850023216
1.3974375,-18.9677822428951
1.39745,-18.9280924314115
1.3974625,-18.8885159656278
1.397475,-18.8490532128211
1.3974875,-18.8097045107628
1.3975,-18.7704701686673
1.3975125,-18.7313504681131
1.397525,-18.6923456639397
1.3975375,-18.6534559851197
1.39755,-18.6146816356042
1.3975625,-18.5760227951482
1.397575,-18.5374796201096
